Antoine Watteau	1750  2946.0,394.0
Antoine Watteau	1750  3023.0,1854.0
Antoine Watteau	1750  3023.0,1403.0
Antoine Watteau	1750  3023.0,978.0
Antoine-Louis Barye	1875  119.0,277.0
Antoine-Mathieu Criaerd	1765  826.0,1054.0
Antonio Mazzuti	1967  462.0,360.0
Antonio Rossellino	1499  .1
Antonio Rossellino	1475  
Antonio Zucchi	1796  305.0,230.0
Antonio Zucchi	1777  
Arthur B. Davies	1928  144.0,222.0
Arthur B. Davies	1928  181.0,292.0
Arthur B. Davies	1904  584.0,711.0
Arthur B. Davies	1928  264.0,383.0
Arthur B. Davies	1928  194.0,279.0
Arthur B. Davies	1906  464.0,1022.0
Arthur B. Davies	1928  352.0,454.0
Arthur B. Davies	1928  194.0,254.0
Arthur B. Davies	1928  502.0,192.0
Arthur B. Davies	1928  187.0,279.0
Arthur B. Davies	1928  183.0,260.0
Arthur B. Davies	1928  186.0,292.0
Arthur B. Davies	1928  276.0,316.0
Arthur B. Davies	1928  365.0,283.0
Arthur B. Davies	1928  249.0,322.0
Arthur B. Davies	1928  181.0,273.0
Arthur B. Davies	1895  302.0,152.0
Arthur B. Davies	1928  186.0,264.0
Arthur B. Davies	1928  330.0,503.0
Arthur B. Davies	1928  189.0,270.0
Arthur B. Davies	1918  460.0,765.0
Arthur B. Davies	1909  410.0,333.0
Arthur B. Davies	1897  432.0,559.0
Arthur B. Davies	1928  162.0,257.0
Arthur B. Davies	1928  184.0,278.0
Arthur B. Davies	1928  260.0,316.0
Arthur B. Davies	1928  165.0,294.0
Arthur B. Davies	1928  186.0,278.0
Arthur B. Davies	1928  260.0,311.0
Arthur B. Davies	1928  146.0,225.0
Arthur B. Davies	1928  191.0,283.0
Arthur B. Davies	1928  264.0,316.0
Arthur B. Davies	1928  260.0,318.0
Arthur B. Davies	1928  240.0,316.0
Arthur B. Davies	1928  610.0,457.0
Arthur B. Davies	1928  159.0,256.0
Arthur B. Davies	1930  406.0,279.0
Arthur B. Davies	1928  260.0,384.0
Arthur B. Davies	1914  660.0,1019.0
Arthur B. Davies	1928  438.0,314.0
Arthur B. Davies	1928  421.0,311.0
Arthur B. Davies	1928  240.0,318.0
Arthur B. Davies	1928  187.0,330.0
Arthur B. Davies	1928  259.0,322.0
Arthur B. Davies	1928  195.0,254.0
Arthur B. Davies	1928  244.0,254.0
Arthur B. Davies	1925  657.0,1013.0
Arthur B. Davies	1928  241.0,318.0
Arthur B. Davies	1928  244.0,314.0
Arthur B. Davies	1928  176.0,260.0
Arthur B. Davies	1928  156.0,268.0
Arthur B. Davies	1928  321.0,243.0
Arthur B. Davies	1928  175.0,260.0
Arthur B. Davies	1928  159.0,260.0
Arthur B. Davies	1895  162.0,248.0
