A&E Design Hans Ehrich Tom Ahlström	1993  870.0,370.0
Christian Rohlfs	1915  206.0,396.0
Christian Rohlfs	1912  242.0,124.0
Christian Rohlfs	1912  360.0,270.0
Christian Rohlfs	1912  147.0,119.0
Christian Rohlfs	1912  219.0,237.0
Christian Rohlfs	1911  526.0,375.0
Christian Rohlfs	1911  181.0,289.0
Christian Rohlfs	1911  246.0,315.0
Christian Rohlfs	1911  380.0,281.0
Christian Rohlfs	1922  497.0,234.0
Christian Schad	1918  59.0,83.0
Christian Schad Marcel Slodki	2915  308.0,232.0
Christian Vetter	2013  805.0,1195.0
Christian Vinck Henriquez	2016  210.0,265.0
Christiane Baumgartner	2011  357.0,594.0
Christiane Baumgartner	2015  390.0,490.0
Christiane Baumgartner	2005  595.0,780.0
Christiane Baumgartner	2005  594.0,783.0
Christiane Baumgartner	2005  595.0,785.0
Christiane Baumgartner	2005  594.0,780.0
Christine Boyer Cornelia Lauf	1516  468.0,315.0
Christine Hill	2003  241.0,165.0
Christo	1981  290.0,210.0
Christo	1968  264.0,212.0
Christo	1968  265.0,212.0
Christo	1965  420.0,135.0
Christo	1965  560.0,456.0
Christo	1972  650.0,499.0
Christo	1971  710.0,557.0
Christoph Ruckhäberle	2006  1000.0,2035.0
Christopher Dresser	1880  162.0,235.0
Christopher Richard Wynne Nevinson	1917  430.0,326.0
Christopher Richard Wynne Nevinson	1916  291.0,394.0
Christopher Richard Wynne Nevinson	1919  741.0,486.0
Christopher Williams	2007  1280.0,895.0
Christopher Williams	2004  777.0,780.0
Christopher Wilmarth	1981  398.0,575.0
Christopher Wool	1998  636.0,508.0
Christopher Wool	1994  356.0,279.0
Christopher Wool	1990  361.0,279.0
Christopher Wool	1998  636.0,506.0
Christopher Wool	1999  1930.0,1222.0
Christopher Wool	2000  1124.0,767.0
Christopher Wool	2002  1363.0,883.0
Christopher Wool	2003  482.0,329.0
Christopher Wool	1991  880.0,646.0
Christopher Wool	1991  880.0,700.0
Christopher Wool	2004  441.0,356.0
Christopher Wool	2004  482.0,329.0
Christopher Wool	2005  413.0,330.0
Christopher Wool	2006  2069.0,1267.0
Christopher Wool	2006  762.0,556.0
Christopher Wool	2007  966.0,738.0
Christopher Wool	2009  559.0,431.0
Christopher Wool	2009  706.0,571.0
Christopher Wool	2009  164.0,248.0
Christopher Wool	2012  1398.0,993.0
Christopher Wool	2013  509.0,610.0
Christopher Wool	2013  510.0,610.0
Christopher Wool	2014  443.0,381.0
Christopher Wool	2016  672.0,555.0
Christopher Wool	2016  470.0,379.0
Christopher Wool	2016  595.0,480.0
Christopher Wool	2016  799.0,699.0
Christopher Wool	1998  634.0,508.0
Christopher Wool	1998  638.0,508.0
Christopher Wool	2016  1078.0,864.0
Christopher Wool	2008  448.0,340.0
Christopher Wool	2008  460.0,434.0
Christopher Wool	2000  1127.0,767.0
Christopher Wool	1999  1934.0,1222.0
Christopher Wool	1985  280.0,215.0
Christopher Wool	2008  965.0,635.0
Christopher Wool	2005  412.0,329.0
Christopher Wool	2005  412.0,330.0
Christopher Wool	2005  401.0,328.0
Christopher Wool	2005  411.0,330.0
Christopher Wool	2005  411.0,326.0
Christopher Wool	2005  411.0,329.0
Christopher Wool	2013  778.0,572.0
Christopher Wool	2014  686.0,572.0
Christopher Wool	2014  557.0,478.0
Christopher Wool	2014  443.0,380.0
Christopher Wool	2014  443.0,300.0
Christopher Wool	2014  508.0,405.0
Christopher Wool	2014  370.0,295.0
Christopher Wool	2014  507.0,406.0
Christopher Wool	1988  1270.0,970.0
Christopher Wool	1989  570.0,400.0
Christopher Wool	1997  647.0,500.0
Christopher Wool Richard Hell	2008  701.0,572.0
Christopher Wool Richard Hell	2008  702.0,573.0
Christopher Wool Richard Hell	2008  701.0,570.0
Christopher Wool Richard Hell	2008  702.0,572.0
Christopher Wool Richard Hell	2008  702.0,568.0
Christopher Wool Richard Hell	2008  571.0,700.0
Christopher Wool Richard Hell	2008  701.0,571.0
Christopher Wool Richard Hell	2008  700.0,573.0
Christopher Wool Richard Hell	2008  702.0,571.0
Chryssa	1962  785.0,593.0
Chryssa	1978  1022.0,775.0
Chryssa	1962  875.0,635.0
Chryssa	1962  874.0,634.0
Chryssa	1962  874.0,636.0
Chryssa	1962  874.0,635.0
Chryssa	1966  748.0,362.0
Chryssa	1962 composition (see child records): dimensions vary; sheet (see child records): dimensions vary
Chryssa	1962  740.0,537.0
Chryssa	1968  762.0,518.0
Chryssa	1962  856.0,616.0
Chryssa	1962  839.0,610.0
Chryssa	1962  788.0,596.0
Chryssa	1962  812.0,596.0
Chryssa	1962  875.0,637.0
Chryssa	1962  1016.0,686.0
Chryssa	1962  874.0,637.0
Chuck Close	2000  460.0,390.0
Chuck Close	1976  203.0,203.0
Chuck Close	1988  780.0,570.0
Chuck Close	1993  1175.0,914.0
Chuck Close	1986  1370.0,1023.0
Chuck Close	2009  902.0,724.0
Chuck Close	2000  467.0,607.0
Chuck Close	1982  970.0,710.0
Chuck Close	1997  533.0,400.0
Chuck Close	1997  600.0,455.0
Chuck Close	2000  1670.0,1375.0
Chuck Close	1996  965.0,790.0
Chuck Close	1972  1294.0,1062.0
Cildo Meireles	1992  15.0,2000.0
Cindy Sherman	2000  507.0,608.0
Cindy Sherman	1991  214.0,170.0
Cindy Sherman Richard Prince	1980  381.0,585.0
Claes Oldenburg	1972  990.0,750.0
Claes Oldenburg	1981  800.0,571.0
Claes Oldenburg	1964  432.0,563.0
Claes Oldenburg	1966  50.0,62.0
Claes Oldenburg	1964  560.0,765.0
Claes Oldenburg	1966  30.0,266.0
Claes Oldenburg	1975  463.0,663.0
Claes Oldenburg	1968  215.0,138.0
Claes Oldenburg	1966  135.0,180.0
Claes Oldenburg	1969  857.0,1665.0
Claes Oldenburg	1974  910.0,683.0
Claes Oldenburg	1968  490.0,472.0
Claes Oldenburg	1975  668.0,511.0
Claes Oldenburg	1960  570.0,450.0
Claes Oldenburg	1960  1391.0,607.0
Claes Oldenburg	1967  761.0,510.0
Claes Oldenburg	1967  763.0,508.0
Claes Oldenburg	1976  518.0,399.0
Claes Oldenburg	1961  382.0,283.0
Claes Oldenburg	1975  670.0,519.0
Claes Oldenburg	1988  920.0,619.0
Claes Oldenburg	1976  1264.0,975.0
Claes Oldenburg	1976  560.0,664.0
Claes Oldenburg	1980  792.0,1470.0
Claes Oldenburg	1967  304.0,456.0
Claes Oldenburg	1962  251.0,190.0
Claes Oldenburg	1961  562.0,629.0
Claes Oldenburg	1960  749.0,1194.0
Claes Oldenburg	1975  948.0,635.0
Claes Oldenburg	1961  500.0,660.0
Claes Oldenburg	1966 a739.6 ) 
Claes Oldenburg	1969  382.0,530.0
Claes Oldenburg	1974  896.0,589.0
Claes Oldenburg	1984  580.0,768.0
Claes Oldenburg	1961  718.0,560.0
Claes Oldenburg	1966  190.0,432.0
Claes Oldenburg	1976  1710.0,1143.0
Claes Oldenburg	1971  720.0,532.0
Claes Oldenburg	1966  260.0,400.0
Claes Oldenburg	1973  835.0,571.0
Claire Falkenstein	1965  764.0,568.0
Clara Carrié	1938  737.0,560.0
Clarence H. Carter	1950  304.0,406.0
Clarence H. White	1917  111.0,92.0
Clarence William Anderson	1906  327.0,426.0
Clarissa Sligh	1988  605.0,610.0
Claude Closky	2000  470.0,315.0
Claude Flight	1923  240.0,302.0
Claude Flight	1926  260.0,319.0
Claude Flight	1929  342.0,285.0
Claude Garache	1977  667.0,508.0
Claude Garache	1978  729.0,568.0
Claude Monet	1914  2000.0,12760.0
Claudette Schreuders	2002  340.0,460.0
Claudette Schreuders	2003  380.0,287.0
Claudette Schreuders	2003  380.0,286.0
Claudette Schreuders	2003  287.0,330.0
Claudette Schreuders	2003  380.0,288.0
Claudette Schreuders	2003  380.0,285.0
Claudette Schreuders	2003  235.0,378.0
Claudette Schreuders	2003  378.0,285.0
Claudia Comte	2015  500.0,500.0
Claus Joseph Riedel	1958 a24.8 )
Clegg and Guttmann	2410  387.0,275.0
Clement Meadmore	1997  323.0,248.0
Clinton Adams	1966  638.0,567.0
Clinton Adams	1965  530.0,383.0
Clinton Adams	1969  503.0,661.0
Clinton Adams	1011  764.0,564.0
Clinton Adams	1960  563.0,767.0
Clinton Adams	1969  568.0,613.0
Clinton Adams	1969  566.0,613.0
Clinton Adams	1965  533.0,381.0
Clinton Adams	1968  306.0,369.0
Clinton Adams	1960  458.0,381.0
Clinton Adams	1961  458.0,381.0
Clinton Adams	1965  281.0,202.0
Clinton Adams	1966  764.0,434.0
Clinton Adams	1966  751.0,434.0
Clinton Adams	1965  507.0,332.0
Clinton Adams	1968  317.0,254.0
Clinton Adams	1965  567.0,380.0
Clinton Adams	1966  280.0,205.0
Clinton Adams	1967  317.0,255.0
Clinton Adams	1969  318.0,253.0
Clinton Adams	1961  457.0,381.0
Clinton Adams	1967  462.0,764.0
Clinton Hill	1997  247.0,322.0
Clinton Hill	1955  876.0,292.0
Clovis Trouille	1968  280.0,168.0
Clyfford Still	1944  508.0,330.0
Cléanthe (Cléante Carr)	1932  533.0,379.0
Colectivo Cordyceps	2012  304.0,457.0
Colin Self	1964  470.0,777.0
Colin Self	1965  412.0,545.0
Colin Self	1965  330.0,549.0
Colin Smith	2012  457.0,304.0
Colleen Browning	1975  582.0,887.0
Compagnie des Cristalleries de Baccarat Paris France	1950  159.0,81.0
Compagnie des Cristalleries de Baccarat Paris France	1950  159.0,84.0
Congo (a Chimpanzee)	1968  280.0,178.0
Congress of South African Trade Unions (COSATU) South Africa	1988  223.0,608.0
Conrad Botes	2005  660.0,505.0
Conrad Felixmüller	1922  461.0,326.0
Conrad Felixmüller	1920  329.0,250.0
Conrad Felixmüller	1921  449.0,324.0
Conrad Felixmüller	1920  308.0,232.0
Conrad Felixmüller	1510  308.0,232.0
Conrad Felixmüller	1210  308.0,232.0
Conrad Felixmüller	1920  460.0,304.0
Conrad Felixmüller	1920  588.0,460.0
Conrad Felixmüller	2710  308.0,232.0
Conrad Felixmüller	1921  308.0,232.0
Conrad Felixmüller	2117  308.0,232.0
Conrad Felixmüller	1911  308.0,232.0
Conrad Felixmüller	1920  323.0,243.0
Conrad Felixmüller	1918  285.0,214.0
Conrad Felixmüller	1717  308.0,232.0
Conrad Felixmüller A. Krapp	1919  308.0,232.0
Conrad Felixmüller Alfred Zacharias Rüdiger Berlit	1920  308.0,232.0
Conrad Felixmüller Arthur Segal	1917  308.0,232.0
Conrad Felixmüller Georg Arndt	2910  308.0,232.0
Conrad Felixmüller Grete Rühle Georg Tappert	1911  308.0,232.0
Conrad Felixmüller Hans Richter	1010  308.0,232.0
Conrad Felixmüller Heinrich Hoerle Karl Jacob Hirsch	1919  308.0,232.0
Conrad Felixmüller Heinrich Zernack Franz Wilhelm Seiwert	2510  308.0,232.0
Conrad Felixmüller Richard Bampi Herbert Anger Christian Schad Wilhelm Schuler	1917  308.0,232.0
Conrad Felixmüller Wilhelm Schuler	2217  308.0,232.0
Constant (Constant Anton Nieuwenhuys)	1968  376.0,474.0
Constantin Brancusi	1929  200.0,165.0
Constantino Nivola	1975  762.0,563.0
Coors Porcelain Co. Golden CO	1920  86.0,143.0
Coors Porcelain Co. Golden CO	1920  49.0,63.0
Coors Porcelain Co. Golden CO	1920  76.0,181.0
Corita Kent (Sister Mary Corita)	1968  586.0,586.0
Corita Kent (Sister Mary Corita)	1956  588.0,430.0
Corneille (Guillaume van Beverloo)	1973  660.0,502.0
Corneille (Guillaume van Beverloo)	1962  391.0,285.0
Corneille (Guillaume van Beverloo)	1962  374.0,570.0
Cornel Windlin	2318  470.0,315.0
Corning Glass Works Corning NY	1944  25.0,233.0
Corning Glass Works Corning NY	1938  140.0,279.0
Corning Glass Works Corning NY	1920  25.0,152.0
Corning Glass Works Corning NY	1942 a17.8 ) 
Cory Arcangel	2008  1020.0,765.0
Cory Arcangel	2008  1013.0,765.0
Cory Arcangel	2008  1015.0,763.0
Cory Arcangel	2008  1013.0,763.0
Cory Arcangel	2008  1015.0,760.0
Craig Hodgetts Robert Mangurian Keith Godard	1973  533.0,711.0
Cristina Iglesias	2008  380.0,431.0
Cristóbal Lehyt	2008  610.0,660.0
Critical Art Ensemble	1116  470.0,315.0
Cuno Amiet	1950  568.0,385.0
Cy Twombly	1967  645.0,514.0
Cy Twombly	1967  648.0,516.0
Cy Twombly	1967  655.0,517.0
Cy Twombly	1973  760.0,558.0
Cy Twombly	1975  648.0,500.0
Cy Twombly	1952  331.0,508.0
Cy Twombly	1967  653.0,518.0
Cy Twombly	1968  510.0,406.0
Cy Twombly	1967  219.0,308.0
Cy Twombly	1973  302.0,227.0
Cy Twombly	1993  3130.0,1901.0
Cyril Edward Power	1932  256.0,435.0
Cyril Edward Power	1930  320.0,394.0
Cyril H. Barnes	1952  507.0,330.0
César (César Baldaccini)	1973  89.0,22.0
César (César Baldaccini)	1963  550.0,423.0
César Domela-Nieuwenhuis	1942  270.0,210.0
César Domela-Nieuwenhuis	1943  231.0,170.0
César Paternosto	1966  1984.0,1295.0
D-L Alvarez	2003  518.0,613.0
Daan van Golden	1989  296.0,420.0
Daan van Golden	1979  296.0,420.0
Dale Henry	1972  406.0,508.0
Dalla Husband	1939  225.0,163.0
Dalla Husband	1938  226.0,164.0
Damien Hirst	2004  2032.0,1092.0
Damien Hirst	2002  911.0,699.0
Damien Hirst	1999  1524.0,1016.0
Damián Ortega	2013  195.0,195.0
Dan Flavin	1978  284.0,379.0
Dan Flavin	1974  570.0,767.0
Dan Flavin	1975  755.0,552.0
Dan Flavin	1978  286.0,381.0
Dan Flavin	1978  285.0,380.0
Dan Flavin	1978  284.0,380.0
Dan Flavin	1978  284.0,378.0
Dan Graham	1969  420.0,290.0
Dan Graham	2004  337.0,380.0
Dan Graham	1973  254.0,216.0
Dan Graham	1969  449.0,290.0
Dan Graham	1965  314.0,242.0
Dan Graham	1969  425.0,285.0
Dan Graham	1969  435.0,290.0
Dan Graham	1969  432.0,292.0
Dan Graham	1960  582.0,588.0
Dan Graham	1970  570.0,578.0
Dan Graham	1970  280.0,178.0
Dan Perjovschi	2003  465.0,315.0
Dan Rakgoathe	1973  520.0,726.0
Dan Walsh	2008  198.0,240.0
Dan Walsh	2008  240.0,314.0
Dan Walsh	2007  584.0,1245.0
Dan Walsh	2008  243.0,256.0
Dan Walsh	2008  285.0,332.0
Dan Walsh	2010  508.0,508.0
Dan Walsh	2017  303.0,303.0
Dan Walsh	2013  270.0,208.0
Dan Walsh	2013  212.0,217.0
Dan Walsh	2008  330.0,320.0
Dan Walsh	2016  247.0,386.0
Danh Vo	2017  296.0,209.0
Daniel Argimón Granell	1973  762.0,561.0
Daniel Buren	1979  203.0,203.0
Daniel Buren	1974  296.0,420.0
Daniel Buren	1969  170.0,219.0
Daniel Buren	1973  104.0,2103.0
Daniel Buren	1971  296.0,420.0
Daniel Buren	2004  357.0,529.0
Daniel Buren	1972  521.0,520.0
Daniel Buren	1983  350.0,520.0
Daniel Buren	1981  290.0,210.0
Daniel Buren	1977  356.0,216.0
Daniel Jewesbury	1520  470.0,315.0
Daniel Joseph Martinez	2004  710.0,558.0
Daniel Spoerri	1971  595.0,790.0
Daniel Spoerri	1977  415.0,295.0
Daniel Spoerri	1965  512.0,598.0
Daniel Spoerri	1965  518.0,612.0
Daniel Spoerri	1965  524.0,613.0
Daniel Spoerri	1962  184.0,135.0
Daniel Spoerri	1971  585.0,780.0
Daniel Spoerri	1971  595.0,780.0
Daniel Spoerri	1971  590.0,785.0
Daniel Spoerri	1971  590.0,775.0
Daniel Spoerri	1965  655.0,775.0
Daniel Spoerri	1965  655.0,765.0
Daniel Spoerri	1965  665.0,770.0
Daniel Spoerri	1973  142.0,686.0
Daniel Spoerri François Dufrêne	1963  200.0,140.0
Daniel Zelaya	1965  560.0,760.0
Daniel Zelaya	1966  582.0,478.0
Daniel den Dikkenbboer	1952  449.0,365.0
Danny (Danny Pierce)	1953  521.0,230.0
Danuta Leszczynska-Kluza	1969  571.0,441.0
Dasha Shishkin	2002  457.0,610.0
Dave Muller	2011  392.0,338.0
Dave Muller	2012  392.0,322.0
David Alfaro Siqueiros	1931  238.0,176.0
David Alfaro Siqueiros	1931  236.0,176.0
David Alfaro Siqueiros	1931  236.0,174.0
David Alfaro Siqueiros	1944  550.0,465.0
David Alfaro Siqueiros	1931  238.0,175.0
David Alfaro Siqueiros	1931  251.0,176.0
David Alfaro Siqueiros	1931  672.0,533.0
David Alfaro Siqueiros	1931  236.0,175.0
David Alfaro Siqueiros	1947  497.0,324.0
David Alfaro Siqueiros	1947  499.0,325.0
David Alfaro Siqueiros	1945  496.0,324.0
David Alfaro Siqueiros	1931  718.0,583.0
David Alfaro Siqueiros	1931  581.0,404.0
David Alfaro Siqueiros	1931  237.0,175.0
David Alfaro Siqueiros	1931  162.0,176.0
David Alfaro Siqueiros	1937  518.0,450.0
David Alfaro Siqueiros	1931  235.0,174.0
David Alfaro Siqueiros	1931  238.0,178.0
David Askevold	1972  500.0,651.0
David Askevold	1973  216.0,279.0
David Askevold	1972  296.0,420.0
David Bates	1999  710.0,588.0
David Bomberg	1919  214.0,265.0
David Brown Milne	1941  263.0,286.0
David Budd	1962  506.0,381.0
David Burliuk Ivan Kliun	1930  230.0,155.0
David Burliuk Kazimir Malevich	1914  203.0,150.0
David Burliuk Olga Rozanova	1914  201.0,150.0
David Burliuk Vladimir Burliuk	1914  195.0,125.0
David Burliuk Vladimir Burliuk	1913  195.0,152.0
David Burliuk Vladimir Burliuk	1914  177.0,130.0
David Burliuk Vladimir Burliuk	1914  178.0,132.0
David Burliuk Vladimir Burliuk Vasilii Kamenskii	1914  189.0,192.0
David Diao	1969  306.0,305.0
David Hammons	1986  282.0,216.0
David Hammons	1987  730.0,725.0
David Hammons	1992  410.0,276.0
David Hammons	2002  330.0,260.0
David Hammons	2005 a116.8 ) 
David Hare	1951  374.0,190.0
David Hare	1947  238.0,204.0
David Hare	1941  453.0,354.0
David Hockney	1976  455.0,524.0
David Hockney	1966  568.0,394.0
David Hockney	1966  573.0,400.0
David Hockney	1966  569.0,394.0
David Hockney	1966  571.0,407.0
David Hockney	1966  571.0,406.0
David Hockney	1966  573.0,395.0
David Hockney	1966  570.0,403.0
David Hockney	1966  573.0,407.0
David Hockney	1966  381.0,508.0
David Hockney	1966  254.0,381.0
David Hockney	1966  260.0,381.0
David Hockney	1966  254.0,168.0
David Hockney	1966  359.0,276.0
David Hockney	1985  1168.0,906.0
David Hockney	1966  460.0,330.0
David Hockney	1973  986.0,727.0
David Hockney	1987  2149.0,3416.0
David Hockney	1966  458.0,325.0
David Hockney	1966  572.0,403.0
David Hockney	1966  572.0,397.0
David Hockney	1966  570.0,400.0
David Hockney	1966  571.0,403.0
David Hockney	1998  750.0,572.0
David Hockney	1961  500.0,687.0
David Hockney	1961  693.0,502.0
David Hockney	1965  766.0,562.0
David Hockney	1965  765.0,561.0
David Hockney	1981  610.0,890.0
David Hockney	1964  506.0,651.0
David Hockney	1978  660.0,876.0
David Hockney	1964  501.0,614.0
David Hockney	1964  610.0,501.0
David Hockney	1985  402.0,345.0
David Hockney	1973  750.0,569.0
David Hockney	1980  400.0,379.0
David Hockney	1976  750.0,1056.0
David Hockney	1970  450.0,310.0
David Hockney	1969  450.0,310.0
David Hockney	1977  525.0,454.0
David Hockney	1977  525.0,453.0
David Hockney	1977  452.0,525.0
David Hockney	1977  455.0,525.0
David Hockney	1977  524.0,452.0
David Hockney	1977  454.0,524.0
David Hockney	1977  524.0,454.0
David Hockney	1977  452.0,523.0
David Hockney	1977  523.0,452.0
David Hockney	1977  526.0,458.0
David Hockney	1977  454.0,525.0
David Hockney	1977  524.0,451.0
David Hockney	1977  453.0,524.0
David Hockney	1977  454.0,523.0
David Hockney	1977  522.0,456.0
David Hockney	1964  513.0,635.0
David Hockney	1961  500.0,625.0
David Hockney	1961 a50 ) 
David Hockney	1964  502.0,652.0
David Hockney	1964  515.0,665.0
David Hockney	1966  564.0,393.0
David Hominal	2014  898.0,632.0
David Ireland	1993  376.0,894.0
David Lamelas	1969  300.0,380.0
David Lang	1950  540.0,412.0
David Lang	1912  326.0,252.0
David Leach	1972  632.0,508.0
David Leach	1972  754.0,563.0
David Moore	1952  415.0,550.0
David Musgrave	2012  363.0,330.0
David Peretz	1966  127.0,345.0
David Peretz	1966  350.0,121.0
David Robilliard	1986  296.0,420.0
David Robilliard	1988  296.0,420.0
David Rose	1971  581.0,484.0
David Salle	1990  540.0,675.0
David Salle	1998  760.0,565.0
David Salle	1990  460.0,569.0
David Salle	1983  759.0,1060.0
David Shrigley	2005  598.0,399.0
David Shrigley	2000  390.0,280.0
David Shrigley	2008  760.0,1078.0
David Shrigley	2005  597.0,397.0
David Smith	1954  237.0,643.0
David Smith	1951  445.0,425.0
David Smith	1941  250.0,308.0
David Smith	1952  660.0,525.0
David Smith	1952  574.0,724.0
David Smith	1955 a1.9 ) 
David Smith	1952  510.0,661.0
David Smith	1939  480.0,387.0
David Storey	1990  376.0,275.0
David Tremlett	1988  296.0,420.0
David Tremlett	1981  296.0,420.0
David Tremlett	1975  296.0,420.0
David Tremlett	1984  296.0,420.0
David Tremlett	1978  296.0,420.0
David V. Hayes	1963  610.0,457.0
David Walter Beck	1963  367.0,115.0
David Weinrib	1967  651.0,537.0
David Wojnarowicz	1991  837.0,1014.0
Dayanita Singh	2014  475.0,625.0
Debnath Basu Anandajit Ray	2000  305.0,230.0
Deli Sacilotto	1966  627.0,432.0
Demetrio Urruchúa	1939  534.0,670.0
Demetrio Urruchúa	1942  558.0,711.0
Demetrio Urruchúa	1942  712.0,557.0
Demetrio Urruchúa	1941  559.0,710.0
Denis Vergin	1947  262.0,199.0
Dennis Burton	1965  663.0,508.0
Dennis Evans	1976  610.0,925.0
Dennis Hopper	1997  560.0,764.0
Dennis Kardon	1983  578.0,502.0
Dennis Oppenheim	1973  763.0,568.0
Dennis Oppenheim	1973  568.0,763.0
Dennis Oppenheim	1980  432.0,559.0
Dennis Oppenheim	1973  559.0,762.0
Dennis Oppenheim	1970  168.0,244.0
Dennis Oppenheim	1973  763.0,567.0
Dennis Oppenheim	1973  763.0,563.0
Dennis Oppenheim	1973  764.0,562.0
Dennis Oppenheim	1973  764.0,567.0
Derek Boshier	1964  580.0,810.0
Derek Ryden	1998  210.0,110.0
Derek Ryden	2001  120.0,80.0
Deryck Healy	2000  600.0,421.0
Desiderio Hernández Xochitiotzin	1952  344.0,443.0
Designer unknown	1964  215.0,90.0
Designer unknown	1962  295.0,197.0
Designer unknown	1963  310.0,425.0
Designer unknown	1962  406.0,180.0
Destroy All Monsters	2009  355.0,215.0
Destroy All Monsters	1978  279.0,216.0
Destroy All Monsters	2009  278.0,215.0
Destroy All Monsters	1976  279.0,216.0
Destroy All Monsters	1979  279.0,216.0
Diana Thater	2000 a12.3 )
Diane Neumaier	2009  305.0,305.0
Diane Victor	2003  354.0,392.0
Diane Victor	2001  358.0,392.0
Diane Victor	2003  355.0,392.0
Diane Victor	2001  362.0,394.0
Diane Victor	2003  360.0,390.0
Diane Victor	2003  358.0,392.0
Diane Victor	2003  364.0,398.0
Diane Victor	2001  356.0,398.0
Diane Victor	2001  360.0,392.0
Diane Victor	2001  358.0,398.0
Diane Victor	2001  362.0,392.0
Diane Victor	2001  356.0,392.0
Diane Victor	2001  355.0,392.0
Diane Wakoski	1968  175.0,178.0
Dick Higgins	1965  100.0,120.0
Dick Higgins	1977  205.0,150.0
Dick Higgins	1961  281.0,220.0
Dick Higgins	1971  251.0,202.0
Dick Higgins	1980  290.0,210.0
Dick Higgins	1977  342.0,267.0
Dick Higgins	1965  30.0,100.0
Dick Higgins	1966  37.0,94.0
Dick Higgins	1965  102.0,120.0
Dick Higgins	1968  568.0,445.0
Dick Higgins	1965  120.0,100.0
Dick Higgins	1960  208.0,195.0
Dick Higgins	1965  61.0,60.0
Dick Higgins	1968  570.0,445.0
Dick Higgins	1962  240.0,204.0
Dick Higgins	1962  252.0,202.0
Dick Higgins	1960  215.0,140.0
Dick Higgins Wolf Vostell	1962  293.0,208.0
Didier Rittener	2008  1079.0,761.0
Didier Vermeiren	1987  296.0,420.0
Die Damen	2004  470.0,315.0
Diederick Van Kleef	1988  299.0,350.0
Diego Rivera	1930  512.0,386.0
Diego Rivera	1932  523.0,379.0
Diego Rivera	1930  370.0,506.0
Diego Rivera	1932  510.0,376.0
Diego Rivera	1938  675.0,935.0
Diego Rivera	1932  526.0,390.0
Diego Rivera	1930  632.0,479.0
Diego Rivera	1932  508.0,369.0
Diego Rivera	1932  388.0,538.0
Diego Rivera unknown	1930  380.0,505.0
Dieter Rams Gerd Alfred Müller	1957  90.0,64.0
Dieter Rams Reinhold Weiss Dietrich Lubs	1964  178.0,168.0
Dieter Roth	1969  244.0,507.0
Dieter Roth	1976  230.0,230.0
Dieter Roth	1976  230.0,170.0
Dieter Roth	1971  244.0,507.0
Dieter Roth	1965  615.0,793.0
Dieter Roth	1971  231.0,400.0
Dieter Roth	1966  792.0,576.0
Dieter Roth	1966  790.0,572.0
Dieter Roth	1966  778.0,560.0
Dieter Roth	1966  562.0,782.0
Dieter Roth	1966  786.0,561.0
Dieter Roth	1966  578.0,780.0
Dieter Roth	1966  790.0,575.0
Dieter Roth	1966  574.0,790.0
Dieter Roth	1966  784.0,568.0
Dieter Roth	1966  527.0,782.0
Dieter Roth	1972  244.0,507.0
Dieter Roth	1974  230.0,170.0
Dieter Roth	1968  116.0,77.0
Dieter Roth	1970  702.0,1004.0
Dieter Roth	1970  703.0,998.0
Dieter Roth	1974  530.0,393.0
Dieter Roth	1974  530.0,391.0
Dieter Roth	1974  533.0,392.0
Dieter Roth	1974  532.0,390.0
Dieter Roth	1974  530.0,390.0
Dieter Roth	1961  180.0,186.0
Dieter Roth	1970  230.0,170.0
Dieter Roth	1969  610.0,451.0
Dieter Roth	1974  533.0,391.0
Dieter Roth	1981  290.0,210.0
Dieter Roth	1961  202.0,202.0
Dieter Roth	1968  281.0,281.0
Dieter Roth	1970  703.0,1002.0
Dieter Roth	1973  230.0,170.0
Dieter Roth	1974  531.0,390.0
Dieter Roth	1970  600.0,838.0
Dieter Roth	1958  407.0,407.0
Dieter Roth	1971  230.0,170.0
Dieter Roth	1974  529.0,391.0
Dieter Roth	1974  531.0,393.0
Dieter Roth	1973  490.0,650.0
Dieter Roth	1973  490.0,689.0
Dieter Roth	1973  491.0,691.0
Dieter Roth	1970  613.0,778.0
Dieter Roth	1958  423.0,426.0
Dieter Roth	1975  230.0,170.0
Dieter Roth	1973 composition (see child records): dimensions vary; sheet (see child records): dimensions vary
Dieter Roth	1972  575.0,463.0
Dieter Roth	1972  583.0,465.0
Dieter Roth	1972  578.0,467.0
Dieter Roth	1972  577.0,462.0
Dieter Roth	1972  579.0,464.0
Dieter Roth	1972  582.0,460.0
Dieter Roth	1972  580.0,455.0
Dieter Roth	1972  566.0,197.0
Dieter Roth	1972  321.0,226.0
Dieter Roth	1972  573.0,470.0
Dieter Roth	1972  147.0,297.0
Dieter Roth	1972  322.0,446.0
Dieter Roth	1972  320.0,438.0
Dieter Roth	1972  464.0,575.0
Dieter Roth	1972  316.0,575.0
Dieter Roth	1974  530.0,392.0
Dieter Roth	1959  306.0,318.0
Dieter Roth	1972  1009.0,998.0
Dieter Roth	1972  504.0,803.0
Dieter Roth	1972  583.0,467.0
Dieter Roth	1976  781.0,578.0
Dieter Roth	1974  531.0,388.0
Dieter Roth	1974  528.0,391.0
Dieter Roth	1973  491.0,689.0
Dieter Roth	1974  527.0,390.0
Dieter Roth	1969  499.0,700.0
Dieter Roth	1969  490.0,700.0
Dieter Roth	1979  840.0,601.0
Dieter Roth	1973  492.0,688.0
Dieter Roth	1973  490.0,646.0
Dieter Roth	1971  509.0,728.0
